Channel,Stage,Outcome,Count
Social,Awareness,Converted,45
Social,Awareness,Abandoned,30
Social,Interest,Converted,35
Social,Interest,Abandoned,25
Social,Decision,Converted,28
Social,Decision,Pending,12
Email,Awareness,Converted,52
Email,Awareness,Abandoned,18
Email,Interest,Converted,48
Email,Interest,Abandoned,15
Email,Decision,Converted,42
Email,Decision,Pending,8
Organic,Awareness,Converted,38
Organic,Awareness,Abandoned,22
Organic,Interest,Converted,32
Organic,Interest,Abandoned,20
Organic,Decision,Converted,25
Organic,Decision,Pending,10
Paid,Awareness,Converted,60
Paid,Awareness,Abandoned,40
Paid,Interest,Converted,50
Paid,Interest,Abandoned,35
Paid,Decision,Converted,40
Paid,Decision,Pending,15
